-1, -0.0196, 1, 1, -0.952576, -1, -1, 1, -1, -1
1, 0.4624, 1, 1, -1, 1, -0.0016, 1, 1, 1
1, -0.4356, 0.8464, 0.6724, 0.0196, 1, 1, 1, 1, 1
-1, -0.0784, -1, -1, -0.5184, 1, 1, 1, -1, -1
0.0484, 1, 1, 0.3844, -1, 1, -1, 1, 1, 1
0.9216, 1, -0.4356, -1, 1, 0.16, 0.7396, -1, -1, -1
1, -0.0016, -1, -1, 0.7744, -1, -1, -1, -1, -1
-1, -0.09, 1, 1, -1, -1, -1, 1, 1, -1
0.0144, -1, -1, -0.0196, -0.0016, 1, 1, -0.1444, -1, 1
-1, -1, -1, 1, -1, 1, 1, -1, 1, 0.6724
-1, -1, 1, 1, -1, 1, 1, 1, 1, -0.7056
0.0484, -1, 1, -1, -1, -1, -1, 0.6084, -1, 1
1, -1, -1, -1, 1, -1, 1, -1, 1, -1
-1, 1, -1, -1, 1, -1, -1, 0.0016, -1, -1
-1, 1, -1, -0.81, 1, -1, -1, 1, -1, 0.1296
1, -1, -1, 1, 1, 1, 1, -1, 1, 1
