-1, -0.0576, 1, 1, -0.7056, -1, -1, 1, -1, -1
1, 0.4096, 1, 1, -1, 1, -0.0144, 1, 1, 1
1, -0.4096, 0.6084, 0.49, 0.0784, 1, 1, 1, 1, 1
-1, -0.4096, -1, -1, -0.5184, 1, 1, 1, -1, -1
0.3136, 1, 1, 0.3844, -1, 1, -1, 0.2304, 1, 1
0.6724, 1, -0.5776, -1, 1, 0.0484, 0.81, -0.7056, -1, -1
1, -0.01, -1, -1, 0.7056, -1, -1, -1, -1, -1
-1, -1, 1, 1, -1, -1, -1, 1, 1, -1
-0.0036, -1, -1, -0.0256, 0.0196, 1, 1, -1, -1, 1
-1, -1, -1, 1, -1, 1, 1, -1, 1, 0.81
-1, -1, 1, 1, -1, 1, 1, 1, 1, -0.7396
0.1156, -1, 1, -1, -1, -1, -1, 0.3844, -1, 1
1, 0.1156, -1, -1, 1, -1, 1, -1, 1, -1
-1, 1, -1, -1, 1, -1, -1, 0.0016, -1, -1
-1, 1, -1, -0.7056, 1, -1, -1, 1, -1, 0.0784
1, -1, -1, 1, 1, 1, 1, -1, 1, 1
